start,end,step,result
3.95,7.58,0.17,83.54
8.31,10.46,0.62,100.00
1.36,5.61,0.24,81.65
8.70,12.16,0.98,65.62
6.40,11.49,0.39,100.00
0.54,4.07,0.40,84.09
0.89,8.54,0.72,81.67
9.40,9.78,0.29,75.00
8.98,13.35,0.10,76.49
7.99,9.19,0.18,81.92
5.38,10.56,0.05,100.00
7.94,8.19,0.47,100.00
6.68,13.83,0.23,100.00
1.18,6.65,0.93,83.33
3.63,11.83,0.46,93.11
2.06,10.72,0.15,79.37
7.20,12.04,0.81,64.81
3.06,7.35,0.32,100.00
4.33,11.43,0.81,81.62
5.34,5.91,0.33,100.00
7.74,13.90,0.31,74.15
1.41,12.00,0.45,81.60
0.47,8.78,0.82,96.99
2.15,5.86,0.39,100.00
8.62,10.75,0.99,100.00
8.58,11.05,0.41,100.00
2.26,13.08,0.54,76.85
6.66,7.81,0.17,81.92
6.46,11.44,0.57,100.00
4.26,8.45,0.56,100.00
4.57,9.73,0.72,100.00
0.92,7.62,0.58,78.24
3.72,12.15,0.76,75.81
4.35,9.69,0.13,80.38
5.44,12.26,0.73,76.60
4.32,4.84,0.16,100.00
6.69,7.70,0.81,100.00
9.97,14.99,0.11,80.69
8.74,9.19,0.14,65.62
4.83,11.26,0.91,75.78
1.79,7.38,0.31,79.38
7.66,10.07,0.24,100.00
9.34,14.70,0.26,80.02
0.56,4.79,0.53,84.77
8.80,9.02,0.12,75.00
6.17,14.86,0.86,85.12
0.97,9.83,0.30,77.72
3.80,9.26,0.14,83.48
2.49,14.88,0.02,74.45
5.16,7.35,0.30,100.00
8.59,10.78,0.67,100.00
2.34,11.34,0.70,81.43
8.51,8.77,0.57,100.00
2.58,7.11,0.45,100.00
0.97,4.48,0.41,82.44
5.75,9.13,0.26,100.00
9.94,13.70,0.48,100.00
7.50,8.70,0.85,75.00
6.87,10.27,0.14,92.59
6.31,11.57,0.22,74.96
6.42,7.17,0.33,77.78
2.03,4.07,0.79,77.78
4.85,10.62,0.56,100.00
0.83,6.07,0.54,80.00
3.07,13.31,0.94,76.26
3.14,4.83,0.21,92.19
3.09,7.14,0.99,74.40
3.22,11.71,0.68,85.98
4.59,5.24,0.46,75.00
2.23,5.61,0.87,87.50
0.32,3.07,0.42,91.84
0.97,4.54,0.41,86.56
9.29,11.50,0.88,92.59
9.97,14.63,0.86,100.00
7.19,10.61,0.59,85.19
1.58,11.55,0.78,82.07
5.01,6.69,0.46,75.00
2.93,4.48,0.98,100.00
9.89,12.96,0.29,80.92
9.76,12.73,0.92,75.00
6.54,8.79,0.72,90.62
8.80,12.15,0.09,100.00
1.88,14.11,0.67,77.75
5.07,5.76,0.45,100.00
0.69,14.46,0.82,77.33
8.20,9.06,0.53,75.00
5.10,8.40,0.65,91.67
7.09,14.51,0.73,95.79
9.59,12.56,0.44,100.00
8.60,14.09,0.81,74.93
5.63,8.43,0.28,80.60
6.64,8.00,0.73,100.00
3.01,3.40,0.29,100.00
8.21,12.69,0.76,75.00
2.48,13.09,0.67,76.12
5.62,8.96,0.74,85.60
7.57,13.24,0.96,67.59
5.59,6.54,0.56,100.00
1.61,7.63,0.31,73.78
7.77,14.36,0.28,74.90
2.59,13.61,0.94,80.21
6.74,10.21,0.17,75.28
5.70,14.68,0.95,70.80
3.99,4.24,1.00,100.00
7.56,14.07,0.54,72.05
8.18,11.87,0.64,100.00
5.28,13.21,0.22,91.75
2.59,13.54,0.72,84.33
3.25,4.63,0.52,100.00
5.64,9.00,0.07,100.00
8.74,9.05,0.23,75.00
8.20,8.61,0.08,100.00
8.05,13.92,0.10,100.00
7.14,14.80,0.35,80.18
2.28,11.64,1.00,76.00
3.21,4.00,0.90,100.00
5.60,11.16,0.02,76.68
8.90,11.31,0.81,62.96
